Pavadinimas,Autorius,Publikavimo duomenys
Skambančios spalvos,"Butkevičius, Pranas (1920-1994)","Kaišiadorys : Printėja, 2023"
Antradienis,"Amores, Eva","Vilnius : Alma littera, 2023"
Puslapis švelnumo,"Martusevičius, Benas Audrius","Vilnius : Alma littera, 2023"
Minam kartu,"Dambrauskaitė-Bakutienė, Solveiga","Kaunas : Terra Publica, 2023"
Jausmai ant keteros bangos,"Urbaitė-Baublienė, Ramutė","Kaišiadorys : Printėja, 2023"
Oliverio Tvisto nuotykiai,"Dickens, Charles (1812–1870)","Vilnius : Alma littera, 2023"
Dora Maar ir dvi jos meilės,"Storks, Bettina","Vilnius : Alma littera, 2023"
Sniego karalienė,"Haworth, Katie","Vilnius : Alma littera, [2023]"
Ar yra gyvenimas po karo?,"Stanké, Alain","Vilnius : Žara, [2023]"
Svajoti,"Kasten, Mona","[Vilnius] : Alma littera, [2023]"
Volfas Engelman,"Akmenytė, Vilma","Kaunas [i.e. Biruliškės, Kauno rajonas] : Kopa, 2023"
Talentų turnyras,"Ruhe, Anna","Kaunas : Debesų ganyklos [i.e. Terra Publica], 2023"
Pozityvus auklėjimas kiekvienai dienai,"Durrant, Joan E.","[Vilnius] : Gelbėkit vaikus, [2023]"
Pranešėjas ir Prezidentas,"Pancerovas, Dovydas","Vilnius : AMK, 2023"
Tarytum pasaka!,"Stanké, Alain","Vilnius : Žara, [2023]"
Kerštas,"Pladienė, Loreta","[Kaunas] : [Ridsales], 2023"
The formation and investigation of titanium dioxide structures for photocatalytic applications,"Kavaliūnas, Vytautas","Kaunas : Kauno technologijos universitetas, 2023"
Svajoti,"Kasten, Mona","Vilnius : Alma littera, 2023"
Sielų biblioteka,"Riggs, Ransom","Vilnius : Alma littera, 2023"
Kūryba,"Revenkienė, Gerda","Kaunas : Ridsales, 2023"
Paskutinės Džono Lenono dienos,"Patterson, James","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Mano visatos kvantai,"Sotera, Daiva","[Vilnius] : L. Leščinskas, 2023"
Mane mylėjo ežerai,"Telksnytė, Milda","Vilnius : Homo liber, 2023"
Vasara po vasaros,"Fortune, Carley","Vilnius : Alma littera, 2023"
Inanna,"Stonkutė, Loreta","Kaunas : Mijalba, 2023"
Vaiko gijimas po trauminės patirties,"Solter, Aletha Jauch","[Kaunas] : Žmogaus psichologijos studija, 2023"
Kūryba,"Gildutytė-Navikienė, Irena","Kaunas : Ridsales, 2023"
Oligopoly problem in the European Union competition law: game theory perspective,"Jablonskis, Martynas","Basel, Vilnius [i.e. Vilnius] : Mykolo Romerio universitetas, 2023"
Dar esu,"Steponavičienė, Laima","Kaunas : Ridsales, 2023"
Šermukšnio karoliai,"Petrikas, Rimantas","Utena : Utenos Indra, 2023"
Kur bėga Šešupė,"Sasnauskas, Česlovas (1867-1916)",Natų leidinių duomenys:Partitūra
Bendrinės lietuvių kalbos skiemuo,"Kazlauskienė, Asta","Kaunas : Vytauto Didžiojo universitetas, 2023"
Paskolintas šuniukas,"Webb, Holly","Vilnius : Alma littera, 2023"
Žmonės kaip paukščiai,"Dobužinskaitė, Danutė","Vilnius : Jusida, 2023"
Miško kuždesiai,"Bohlmann, Sabine","Vilnius : Nieko rimto, 2023"
Raidės ir žodžiai,"Nordqvist, Sven","Vilnius : Nieko rimto, 2023"
Neplanuotas gyvenimas,"Leinartė, Dalia",2023
Tobulas grobis,"Fields, Helen","Kaunas : Jotema, [2023]"
Mirties nuosprendis,"Gruber, Andreas","Kaunas : Jotema, [2023]"
Viešnagė,"Edwards, Mark","Kaunas : Jotema, [2023]"
Jis mane gano,"Ciszek, Walter J. (1904-1984)","Vilnius : Magnificat leidiniai, 2023"
Nieko nesakyk,"Keefe, Patrick Radden","[Vilnius] : Kitos knygos, [2023]"
Rex iustissimus,"Valikonytė, Irena","Vilnius : Vilniaus universiteto leidykla, 2023"
Vadoklių seniūnijos gyvenamosios vietos,"Juknevičius, Petras","Panevėžys : Reklamos agentūra „25 kadras“, 2023"
Devyniolika saulėtekių,"Žilinskas, Romualdas","[Kaunas] : [R. Žilinskas], [2023]"
Nebuvimo estetika,"Goebbels, Heiner","Vilnius : Apostrofa, 2023"
Alinantis perdegimas,"Malesic, Jonathan","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Blyškiaveidis melas,"Crow, David","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Meilės fizika,"Карамова, Римма","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Diabeto kodas,"Fung, Jason","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Kūryba,"Sudintienė, Rasa","Kaunas : Ridsales, 2023"
Pusė uogos,"Griškevičienė, Dalia","Kaunas : Ridsales, 2023"
Įžūlioji markizo kaimynė,"Heath, Virginia","Vilnius : Svajonių knygos, 2023"
Kūryba,"Rakutienė, Rolanda Elžbieta","Kaunas : Ridsales, 2023"
Į kitą amžių,"Rupšlaukis, Linas",Natų leidinių duomenys:Partitūra
Kūryba,"Sejūnas, Šarūnas","Kaunas : Ridsales, 2023"
Sielų teismas,"Carrisi, Donato","Vilnius : Sofoklis, 2023"
Wo / Men,"Kajackaitė, Agnė","Vilnius : „Baltų lankų“ leidyba, [2023]"
60 akimirkų,"Šleiniutė-Buzelienė, Lina","[Telšiai] : [Spaudos lankas], [2023]"
"Putinas, arba Valdžios manija","Thom, Françoise","Vilnius : Briedis, 2023"
Pasmerkti gyvi,"De Franchi, Marco","Vilnius : Alma littera, 2023"
Стійкість: тяжко виборена мудрість для ліпшого життя,Ерік Ґрейтенс,"Харків : „Ранок“, 2023"
